
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価
,,,,,精度(3，4の割合)：60％

394人目への推薦結果
1位,ラストサムライ,1.000000,5
2位,水戸黄門 天下の副将軍,0.348148,5
3位,マトリックス・レボリューションズ,0.266667,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.258333,5
5位,2001年宇宙の旅,0.258333,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

395人目への推薦結果
1位,アイ.ロボット,0.447619,4
2位,バトル・ロワイアル,0.447619,5
3位,クレヨンしんちゃん 爆発!温泉わくわく大決戦,0.422222,3
4位,水戸黄門 天下の副将軍,0.373016,5
5位,オペラ座の怪人,0.361905,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

396人目への推薦結果
1位,クレヨンしんちゃん 爆発!温泉わくわく大決戦,0.597333,3
2位,ラストサムライ,0.480000,4
3位,禁じられた遊び,0.313333,5
4位,水戸黄門 天下の副将軍,0.246667,4
5位,マトリックス・レボリューションズ,0.128000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

397人目への推薦結果
1位,禁じられた遊び,0.768627,4
2位,水戸黄門 天下の副将軍,0.619608,4
3位,最終兵器彼女,0.300000,5
4位,アポロ13,0.239216,5
5位,メカゴジラの逆襲,0.223529,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

398人目への推薦結果
1位,ラストサムライ,1.122807,3
2位,水戸黄門 天下の副将軍,0.518713,4
3位,天空の城ラピュタ,0.290058,3
4位,禁じられた遊び,0.274854,5
5位,アポロ13,0.230994,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

399人目への推薦結果
1位,アナザヘヴン,0.831373,5
2位,アイ.ロボット,0.482353,5
3位,バトル・ロワイアル,0.482353,5
4位,水戸黄門 天下の副将軍,0.474510,5
5位,オペラ座の怪人,0.447059,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

400人目への推薦結果
1位,禁じられた遊び,0.470430,4
2位,アポロ13,0.272043,4
3位,風の谷のナウシカ,0.137634,3
4位,A.I.,0.116129,4
5位,12モンキーズ,0.104839,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

401人目への推薦結果
1位,ラストサムライ,0.788732,3
2位,禁じられた遊び,0.487324,4
3位,水戸黄門 天下の副将軍,0.277934,4
4位,マトリックス・レボリューションズ,0.210329,4
5位,天空の城ラピュタ,0.203756,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

402人目への推薦結果
1位,ロッキー,0.373984,5
2位,水戸黄門 天下の副将軍,0.191057,3
3位,ローマの休日,0.182114,5
4位,ショーシャンクの空に,0.156098,5
5位,禁じられた遊び,0.143089,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

403人目への推薦結果
1位,ラストサムライ,1.132075,3
2位,禁じられた遊び,0.459748,4
3位,スター・ウォーズ,0.292453,5
4位,水戸黄門 天下の副将軍,0.209434,3
5位,プライベート・ライアン,0.205660,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

404人目への推薦結果
1位,ラストサムライ,1.711111,3
2位,アナザヘヴン,0.588889,4
3位,アイ.ロボット,0.548148,3
4位,バトル・ロワイアル,0.548148,3
5位,天空の城ラピュタ,0.401852,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

405人目への推薦結果
1位,ラストサムライ,0.670588,5
2位,リング0 バースデイ,0.398039,5
3位,オペラ座の怪人,0.351961,5
4位,バトル・ロワイアル,0.290196,5
5位,マトリックス・レボリューションズ,0.156863,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

406人目への推薦結果
1位,禁じられた遊び,0.274167,3
2位,天空の城ラピュタ,0.219583,3
3位,プライベート・ライアン,0.167083,3
4位,モスラ,0.153333,3
5位,日本沈没,0.146667,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

407人目への推薦結果
1位,天空の城ラピュタ,0.297740,4
2位,クレヨンしんちゃん ヘンダーランドの大冒険,0.161582,3
3位,アポロ13,0.155367,5
4位,禁じられた遊び,0.149153,3
5位,パラサイト・イヴ,0.115254,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

408人目への推薦結果
1位,アナザヘヴン,4.416667,4
2位,禁じられた遊び,1.958333,4
3位,リング0 バースデイ,1.041667,4
4位,メカゴジラの逆襲,0.791667,3
5位,12モンキーズ,0.625000,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

409人目への推薦結果
1位,ラストサムライ,1.259524,3
2位,アイ.ロボット,0.439683,3
3位,バトル・ロワイアル,0.439683,5
4位,マトリックス・レボリューションズ,0.304762,5
5位,天空の城ラピュタ,0.295238,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

410人目への推薦結果
1位,ターミネーター2,0.303030,5
2位,ピアノ・レッスン,0.153535,5
3位,走れメロス,0.121212,5
4位,スーパーの女,0.113131,4
5位,ジョーズ2,0.111111,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

411人目への推薦結果
1位,バトル・ロワイアル,0.479675,4
2位,水戸黄門 天下の副将軍,0.229268,5
3位,マトリックス・レボリューションズ,0.208130,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.201626,5
5位,スター・ウォーズ,0.201626,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

412人目への推薦結果
1位,ラストサムライ,1.228302,4
2位,アイ.ロボット,0.646541,4
3位,ターミネーター2,0.415094,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.272956,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.272956,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

413人目への推薦結果
1位,アイ.ロボット,0.482609,3
2位,禁じられた遊び,0.323551,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.224638,3
4位,スター・ウォーズ,0.224638,3
5位,リング0 バースデイ,0.172101,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

414人目への推薦結果
1位,ラストサムライ,1.170370,5
2位,アナザヘヴン,0.981481,5
3位,禁じられた遊び,0.435185,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.420370,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.420370,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

415人目への推薦結果
1位,オペラ座の怪人,0.587356,4
2位,アイ.ロボット,0.548276,4
3位,マトリックス・レボリューションズ,0.183908,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.178161,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.178161,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

416人目への推薦結果
1位,ターミネーター2,0.312500,3
2位,スター・ウォーズ,0.193750,3
3位,天空の城ラピュタ,0.193750,3
4位,ゲロッパ!,0.098958,3
5位,パラサイト・イヴ,0.095833,5
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

417人目への推薦結果
1位,バトル・ロワイアル,0.452222,3
2位,禁じられた遊び,0.407778,5
3位,最終兵器彼女,0.172222,4
4位,鉄道員,0.160556,5
5位,ショーシャンクの空に,0.160000,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

418人目への推薦結果
1位,アナザヘヴン,0.635206,3
2位,2001年宇宙の旅,0.208989,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.208989,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.208989,3
5位,鉄道員,0.168914,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

419人目への推薦結果
1位,ターミネーター2,0.390244,4
2位,スウィングガールズ,0.219512,5
3位,アポロ13,0.182927,4
4位,砂の器,0.182927,3
5位,マトリックス・レボリューションズ,0.182114,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

420人目への推薦結果
1位,ラストサムライ,0.969643,5
2位,アイ.ロボット,0.446429,5
3位,マトリックス・レボリューションズ,0.228571,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.221429,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.221429,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

421人目への推薦結果
1位,アナザヘヴン,0.692810,3
2位,バトル・ロワイアル,0.563399,5
3位,オペラ座の怪人,0.546405,3
4位,ターミネーター2,0.313725,3
5位,禁じられた遊び,0.307190,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

422人目への推薦結果
1位,ターミネーター2,0.325000,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.219583,5
3位,ウォーターボーイズ,0.155833,4
4位,ジョーズ2,0.119167,3
5位,鉄道員,0.110833,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：80％

423人目への推薦結果
1位,ラストサムライ,0.510638,3
2位,禁じられた遊び,0.409220,3
3位,ローマの休日,0.139007,3
4位,マトリックス・レボリューションズ,0.136170,3
5位,天空の城ラピュタ,0.131915,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

424人目への推薦結果
1位,禁じられた遊び,0.389444,4
2位,スター・ウォーズ エピソード3/シスの復讐,0.198056,4
3位,ウォーターボーイズ,0.168333,3
4位,パラサイト・イヴ,0.076667,5
5位,クレイマー、クレイマー,0.070000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

425人目への推薦結果
1位,ラストサムライ,0.951613,5
2位,オペラ座の怪人,0.485484,5
3位,アイ.ロボット,0.433333,5
4位,バトル・ロワイアル,0.433333,5
5位,ターミネーター2,0.354839,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

426人目への推薦結果
1位,バトル・ロワイアル,0.530000,5
2位,バトル・ロワイアル,0.530000,5
3位,ターミネーター2,0.366667,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.310000,4
5位,天空の城ラピュタ,0.310000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

427人目への推薦結果
1位,ラストサムライ,1.186885,3
2位,アイ.ロボット,0.485246,4
3位,バトル・ロワイアル,0.485246,4
4位,リング0 バースデイ,0.316940,4
5位,マトリックス・レボリューションズ,0.279781,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

428人目への推薦結果
1位,アナザヘヴン,1.135714,5
2位,アイ.ロボット,0.483333,5
3位,バトル・ロワイアル,0.483333,5
4位,オペラ座の怪人,0.452381,5
5位,リング0 バースデイ,0.267857,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

429人目への推薦結果
1位,ラストサムライ,1.006667,5
2位,アイ.ロボット,0.530000,5
3位,ターミネーター2,0.366667,5
4位,マトリックス・レボリューションズ,0.231111,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.223889,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

430人目への推薦結果
1位,アイ.ロボット,0.569231,5
2位,ターミネーター2,0.423077,5
3位,アポロ13,0.208333,3
4位,砂の器,0.208333,3
5位,フランケンシュタイン,0.167308,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

431人目への推薦結果
1位,ラストサムライ,1.001449,4
2位,アナザヘヴン,0.614493,4
3位,アイ.ロボット,0.464734,5
4位,禁じられた遊び,0.272464,3
5位,天空の城ラピュタ,0.224638,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

432人目への推薦結果
1位,ラストサムライ,1.053247,3
2位,アイ.ロボット,0.452814,5
3位,ターミネーター2,0.363636,4
4位,マトリックス・レボリューションズ,0.249351,4
5位,スター・ウォーズ,0.241558,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

433人目への推薦結果
1位,アイ.ロボット,0.509677,4
2位,禁じられた遊び,0.328495,3
3位,ターミネーター2,0.322581,4
4位,鉄道員,0.178495,4
5位,リング0 バースデイ,0.174731,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

434人目への推薦結果
1位,アナザヘヴン,0.747436,4
2位,ラストサムライ,0.646154,4
3位,アイ.ロボット,0.379487,4
4位,禁じられた遊び,0.331410,3
5位,鉄道員,0.153846,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

435人目への推薦結果
1位,ターミネーター2,0.291667,4
2位,天空の城ラピュタ,0.215278,5
3位,天空の城ラピュタ,0.215278,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.215278,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.215278,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

436人目への推薦結果
1位,アナザヘヴン,0.441667,5
2位,ターミネーター2,0.291667,5
3位,禁じられた遊び,0.195833,5
4位,水戸黄門 天下の副将軍,0.154167,5
5位,ジョーズ2,0.106944,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

437人目への推薦結果
1位,アナザヘヴン,0.772917,5
2位,ラストサムライ,0.750000,5
3位,禁じられた遊び,0.342708,4
4位,ターミネーター2,0.312500,5
5位,マトリックス・レボリューションズ,0.200000,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

438人目への推薦結果
1位,ラストサムライ,0.941176,3
2位,リング0 バースデイ,0.483007,3
3位,禁じられた遊び,0.452941,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.243137,3
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.243137,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

439人目への推薦結果
1位,水戸黄門 天下の副将軍,0.359910,5
2位,天空の城ラピュタ,0.209459,5
3位,アポロ13,0.191441,3
4位,日本沈没,0.168468,5
5位,ウォーターボーイズ,0.148649,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

440人目への推薦結果
1位,ラストサムライ,1.143137,4
2位,アイ.ロボット,0.435294,4
3位,リング0 バースデイ,0.303268,5
4位,スター・ウォーズ,0.263399,5
5位,天空の城ラピュタ,0.263399,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

441人目への推薦結果
1位,ラストサムライ,1.239394,5
2位,オペラ座の怪人,0.637374,5
3位,アイ.ロボット,0.559596,5
4位,バトル・ロワイアル,0.559596,5
5位,ターミネーター2,0.363636,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

442人目への推薦結果
1位,ラストサムライ,1.057692,5
2位,アイ.ロボット,0.505128,5
3位,バトル・ロワイアル,0.505128,3
4位,ターミネーター2,0.307692,5
5位,マトリックス・レボリューションズ,0.246154,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

443人目への推薦結果
1位,ラストサムライ,1.000000,3
2位,ターミネーター2,0.400000,3
3位,マトリックス・レボリューションズ,0.266667,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.258333,3
5位,スター・ウォーズ エピソード3/シスの復讐,0.258333,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

444人目への推薦結果
1位,ラストサムライ,1.200000,5
2位,ターミネーター2,0.500000,5
3位,マトリックス・レボリューションズ,0.320000,5
4位,禁じられた遊び,0.313333,5
5位,天空の城ラピュタ,0.310000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

445人目への推薦結果
1位,ラストサムライ,0.653125,3
2位,オペラ座の怪人,0.600000,3
3位,アイ.ロボット,0.539583,3
4位,鉄道員,0.138542,4
5位,走れメロス,0.134375,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

446人目への推薦結果
1位,ラストサムライ,1.075000,3
2位,アナザヘヴン,0.571569,5
3位,アイ.ロボット,0.471569,3
4位,禁じられた遊び,0.253431,4
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.243137,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

447人目への推薦結果
1位,オペラ座の怪人,0.535450,5
2位,アイ.ロボット,0.506878,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.262434,5
4位,スター・ウォーズ,0.262434,3
5位,日本沈没,0.192063,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

448人目への推薦結果
1位,天空の城ラピュタ,0.486207,3
2位,天空の城ラピュタ,0.486207,3
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.486207,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.486207,5
5位,プライベート・ライアン,0.355172,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

449人目への推薦結果
1位,ラストサムライ,0.932812,5
2位,アイ.ロボット,0.423958,5
3位,禁じられた遊び,0.244792,4
4位,マトリックス・レボリューションズ,0.216667,5
5位,天空の城ラピュタ,0.209896,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

450人目への推薦結果
1位,アナザヘヴン,0.683871,5
2位,水戸黄門 天下の副将軍,0.491398,4
3位,禁じられた遊び,0.303226,5
4位,アポロ13,0.211828,5
5位,マトリックス・レボリューションズ,0.137634,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

451人目への推薦結果
1位,ラストサムライ,0.837209,5
2位,ターミネーター2,0.372093,4
3位,マトリックス・レボリューションズ,0.223256,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.216279,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.216279,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

452人目への推薦結果
1位,アナザヘヴン,0.963636,4
2位,ラストサムライ,0.822727,4
3位,禁じられた遊び,0.427273,4
4位,アイ.ロボット,0.336364,4
5位,バトル・ロワイアル,0.336364,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

453人目への推薦結果
1位,ラストサムライ,0.680000,3
2位,ターミネーター2,0.400000,5
3位,天空の城ラピュタ,0.335000,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.335000,5
5位,スター・ウォーズ,0.335000,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

454人目への推薦結果
1位,ラストサムライ,1.242857,5
2位,オペラ座の怪人,0.466667,5
3位,ターミネーター2,0.428571,5
4位,アイ.ロボット,0.395238,5
5位,バトル・ロワイアル,0.395238,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

455人目への推薦結果
1位,バトル・ロワイアル,0.543503,3
2位,リング0 バースデイ,0.327684,4
3位,2001年宇宙の旅,0.192655,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.192655,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.192655,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

456人目への推薦結果
1位,ラストサムライ,0.916327,4
2位,アイ.ロボット,0.401361,4
3位,バトル・ロワイアル,0.401361,4
4位,マトリックス・レボリューションズ,0.217687,4
5位,天空の城ラピュタ,0.210884,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

457人目への推薦結果
1位,ラストサムライ,0.720000,4
2位,ターミネーター2,0.320000,4
3位,水戸黄門 天下の副将軍,0.219333,3
4位,マトリックス・レボリューションズ,0.192000,3
5位,スター・ウォーズ,0.186000,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

458人目への推薦結果
1位,天空の城ラピュタ,0.764198,3
2位,天空の城ラピュタ,0.764198,3
3位,天空の城ラピュタ,0.764198,3
4位,アイ.ロボット,0.456790,5
5位,バトル・ロワイアル,0.456790,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

459人目への推薦結果
1位,ラストサムライ,0.800000,4
2位,ターミネーター2,0.333333,4
3位,スター・ウォーズ エピソード2/クローンの攻撃,0.206667,3
4位,天空の城ラピュタ,0.206667,4
5位,スウィングガールズ,0.150000,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

460人目への推薦結果
1位,ラストサムライ,0.976667,3
2位,ウォーターボーイズ,0.154815,5
3位,ジョーズ2,0.130370,3
4位,鉄道員,0.119630,3
5位,パラサイト・イヴ,0.108148,5
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：60％

461人目への推薦結果
1位,天空の城ラピュタ,0.657143,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.657143,5
3位,スター・ウォーズ,0.657143,5
4位,プライベート・ライアン,0.475000,5
5位,ターミネーター2,0.428571,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

462人目への推薦結果
1位,アイ.ロボット,0.539583,3
2位,バトル・ロワイアル,0.539583,3
3位,リング0 バースデイ,0.466667,4
4位,アナザヘヴン,0.441667,4
5位,禁じられた遊び,0.333333,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

463人目への推薦結果
1位,アナザヘヴン,0.911828,3
2位,ラストサムライ,0.645161,3
3位,水戸黄門 天下の副将軍,0.469892,3
4位,リング0 バースデイ,0.215054,3
5位,アポロ13,0.183871,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

464人目への推薦結果
1位,ラストサムライ,0.717949,5
2位,禁じられた遊び,0.321368,5
3位,アポロ13,0.210256,5
4位,マトリックス・レボリューションズ,0.191453,3
5位,スター・ウォーズ,0.185470,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

465人目への推薦結果
1位,禁じられた遊び,0.299510,5
2位,ターミネーター2,0.294118,4
3位,天空の城ラピュタ,0.182353,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.182353,5
5位,スター・ウォーズ,0.182353,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

466人目への推薦結果
1位,ラストサムライ,0.600000,5
2位,ロッキー,0.383333,5
3位,ターミネーター2,0.350000,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.155000,3
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.155000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

467人目への推薦結果
1位,スター・ウォーズ エピソード3/シスの復讐,0.213499,5
2位,鉄道員,0.115152,3
3位,パラサイト・イヴ,0.082645,5
4位,クレヨンしんちゃん ヘンダーランドの大冒険,0.063636,3
5位,Shall we ダンス?,0.023140,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

468人目への推薦結果
1位,ターミネーター2,0.406780,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.262712,5
3位,スター・ウォーズ,0.262712,4
4位,スウィングガールズ,0.220339,4
5位,砂の器,0.183616,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

469人目への推薦結果
1位,アイ.ロボット,0.527381,3
2位,ショーシャンクの空に,0.142857,4
3位,禁じられた遊び,0.130952,4
4位,鉄道員,0.124405,3
5位,A.I.,0.107143,3
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

470人目への推薦結果
1位,アイ.ロボット,0.445283,3
2位,バトル・ロワイアル,0.445283,3
3位,禁じられた遊び,0.325157,3
4位,ターミネーター2,0.264151,5
5位,リング0 バースデイ,0.172956,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

471人目への推薦結果
1位,アナザヘヴン,1.009524,4
2位,ラストサムライ,0.647619,4
3位,禁じられた遊び,0.447619,4
4位,水戸黄門 天下の副将軍,0.352381,4
5位,プライベート・ライアン,0.342857,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

472人目への推薦結果
1位,ターミネーター2,0.400000,5
2位,ローマの休日,0.173333,5
3位,マトリックス・レボリューションズ,0.167619,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.162381,5
5位,スター・ウォーズ,0.162381,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

473人目への推薦結果
1位,アナザヘヴン,0.691304,3
2位,ラストサムライ,0.608696,4
3位,禁じられた遊び,0.306522,4
4位,アポロ13,0.223188,4
5位,リング0 バースデイ,0.163043,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：100％

474人目への推薦結果
1位,ラストサムライ,1.047368,5
2位,アイ.ロボット,0.518129,5
3位,ターミネーター2,0.421053,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.235673,5
5位,スター・ウォーズ,0.235673,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

475人目への推薦結果
1位,アナザヘヴン,0.963636,5
2位,禁じられた遊び,0.427273,5
3位,ターミネーター2,0.363636,5
4位,リング0 バースデイ,0.227273,5
5位,メカゴジラの逆襲,0.172727,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

476人目への推薦結果
1位,ラストサムライ,0.930769,4
2位,アイ.ロボット,0.611538,3
3位,ターミネーター2,0.423077,5
4位,マトリックス・レボリューションズ,0.205128,3
5位,天空の城ラピュタ,0.198718,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

477人目への推薦結果
1位,ラストサムライ,1.120000,5
2位,アイ.ロボット,0.691111,3
3位,ターミネーター2,0.333333,5
4位,マトリックス・レボリューションズ,0.248889,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.241111,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

478人目への推薦結果
1位,アナザヘヴン,0.706667,5
2位,ラストサムライ,0.453333,5
3位,禁じられた遊び,0.313333,5
4位,水戸黄門 天下の副将軍,0.246667,5
5位,プライベート・ライアン,0.240000,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

479人目への推薦結果
1位,ラストサムライ,1.186885,5
2位,ターミネーター2,0.360656,5
3位,天空の城ラピュタ,0.271038,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.271038,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.271038,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

480人目への推薦結果
1位,ラストサムライ,0.830189,3
2位,リング0 バースデイ,0.328302,3
3位,マトリックス・レボリューションズ,0.221384,3
4位,スター・ウォーズ エピソード3/シスの復讐,0.214465,4
5位,2001年宇宙の旅,0.214465,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

481人目への推薦結果
1位,アナザヘヴン,1.087179,4
2位,ラストサムライ,0.923077,4
3位,禁じられた遊び,0.482051,4
4位,水戸黄門 天下の副将軍,0.379487,4
5位,リング0 バースデイ,0.256410,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：100％

482人目への推薦結果
1位,ラストサムライ,1.122449,5
2位,アイ.ロボット,0.503401,5
3位,禁じられた遊び,0.255782,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.253061,5
5位,スター・ウォーズ エピソード2/クローンの攻撃,0.253061,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

483人目への推薦結果
1位,ラストサムライ,0.965517,5
2位,水戸黄門 天下の副将軍,0.270115,4
3位,リング0 バースデイ,0.266667,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.249425,4
5位,スター・ウォーズ エピソード3/シスの復讐,0.249425,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

484人目への推薦結果
1位,ターミネーター2,0.371429,4
2位,天空の城ラピュタ,0.265714,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.265714,4
